Nome;Squadra;Qt.A;FVM M;RM;Pv(2024);Fm(2024);Gf(2024);Pv(2023);Fm(2023);Gf(2023);Ass(2023);Amm(2023);Esp(2023)
Rrahmani;Napoli;11;13;Dc;3;5,5;0;30;6,15;3;0;5;0
Emerson Royal;Milan;11;23;"B;Dd;Ds";2;4,75;0;NP;NP;NP;NP;NP;NP
Pavlovic;Milan;11;17;Dc;2;7,75;1;NP;NP;NP;NP;NP;NP
Cambiaso;Juventus;11;34;"Dd;Ds;E";3;7,33;1;34;6,12;2;3;10;0
Acerbi;Inter;10;16;Dc;3;5,83;0;29;6,5;3;1;1;0
Zappacosta;Atalanta;10;13;E;3;6,17;0;31;6,06;2;1;5;0
Darmian;Inter;10;12;"B;Dd;E";3;7,33;1;32;6,33;2;1;2;0
Angelino;Roma;10;14;"Ds;E";3;5,83;0;16;5,88;0;2;2;0
Hermoso;Roma;10;12;Dc;0;0;0;NP;NP;NP;NP;NP;NP
Martinez Quarta;Fiorentina;10;16;Dc;2;5,75;0;28;6,41;5;0;9;0
Kossounou;Atalanta;10;13;"Dd;Dc";0;0;0;NP;NP;NP;NP;NP;NP
Coco;Torino;10;13;Dc;3;7,33;1;NP;NP;NP;NP;NP;NP
Luperto;Cagliari;9;7;Dc;3;6,67;0;38;6,05;1;1;4;0
Romagnoli;Lazio;9;13;Dc;3;5,5;0;28;5,8;0;0;9;0
Sergi Roberto;Como;9;9;"E;M";2;6;0;NP;NP;NP;NP;NP;NP
N'Dicka;Roma;9;10;Dc;3;6,33;0;25;5,86;0;3;6;0
Vasquez;Genoa;9;9;"Ds;Dc";3;5,67;0;35;6,19;1;1;6;0
Baschirotto;Lecce;9;10;"Dd;Dc";3;5,5;0;37;5,72;0;1;3;1
Bijol;Udinese;9;10;Dc;3;6,67;0;24;6;0;0;4;0
Carlos Augusto;Inter;9;8;E;3;6;0;35;6,21;0;3;1;0
Dodo';Fiorentina;9;12;"Dd;E";3;5,67;0;6;5,75;0;0;0;0
Biraghi;Fiorentina;8;21;"B;Ds;E";3;6,83;1;28;6,11;2;5;8;0
Varane;Como;8;8;Dc;0;0;0;NP;NP;NP;NP;NP;NP
Kolasinac;Atalanta;8;13;"B;Ds;E";0;0;0;29;6,07;1;0;4;0
Mina;Cagliari;8;8;Dc;2;5,75;0;15;6,27;2;0;5;0
Miranda J.;Bologna;8;12;"Ds;E";2;6;0;NP;NP;NP;NP;NP;NP
Ismajli;Empoli;8;5;Dc;3;6,5;0;25;5,68;0;0;2;0
Parisi;Fiorentina;8;8;"Ds;E";2;6;0;21;5,64;0;1;4;0
Casale;Bologna;8;8;Dc;2;6;0;19;5,55;0;0;5;0
Pongracic;Fiorentina;8;10;Dc;1;3,5;0;36;5,81;0;0;8;1
Holm;Bologna;8;10;"Dd;E";0;0;0;18;6,08;1;1;5;0
Gatti;Juventus;8;10;Dc;3;6,33;0;32;6,11;4;0;7;0
Gigot;Lazio;8;10;Dc;0;0;0;NP;NP;NP;NP;NP;NP
Hien;Atalanta;8;11;Dc;2;5,75;0;22;5,82;0;0;4;1
Beukema;Bologna;8;8;Dc;3;6,33;0;30;6,02;1;0;4;1
Dossena;Como;8;7;Dc;2;6,5;0;35;5,94;2;4;5;0
Tchatchoua;Verona;8;12;"Dd;E";3;7,17;1;25;5,76;0;1;2;0
Masina;Torino;7;7;"B;Ds;E";3;6,5;0;15;5,8;0;0;2;0
De Vrij;Inter;7;9;Dc;0;0;0;22;6,41;1;0;0;0
Pezzella Giu.;Empoli;7;4;"Ds;E";3;6,5;0;15;5,5;0;0;4;0
Djimsiti;Atalanta;7;9;Dc;3;4,17;0;36;5,92;0;1;4;0
Sabelli;Genoa;7;5;"Dd;Ds;E";3;6,33;0;31;5,87;0;1;5;0
Bani;Genoa;7;7;Dc;2;5,75;0;27;6,07;2;0;9;0
Ranieri L.;Fiorentina;7;8;"Ds;Dc";2;6;0;25;5,88;2;1;14;0
Kyriakopoulos;Monza;7;7;"Ds;E";3;6,33;0;27;5,93;0;3;3;0
Maripan;Torino;7;8;Dc;0;0;0;NP;NP;NP;NP;NP;NP
Mari';Monza;7;8;Dc;3;5,83;0;33;5,88;0;0;7;0
Erlic;Bologna;7;9;Dc;2;6,5;0;32;5,78;1;0;5;0
Vojvoda;Torino;7;7;"B;Dd;E";3;5,83;0;21;5,95;0;3;3;0
Godfrey;Atalanta;7;8;"B;Dd;Ds";1;6;0;NP;NP;NP;NP;NP;NP
Moreno Alb.;Como;7;9;"Ds;E";3;5,33;0;NP;NP;NP;NP;NP;NP
Scalvini;Atalanta;7;6;Dc;0;0;0;33;6,2;1;3;3;0
Tavares N.;Lazio;7;15;"Ds;E";1;9,5;0;NP;NP;NP;NP;NP;NP
Olivera;Napoli;7;14;"B;Ds;E";3;5,67;0;22;5,89;1;0;3;0
Valeri;Parma;7;6;"Ds;E";2;6,75;0;15;5,57;0;1;3;0
Cabal;Juventus;7;9;"B;Ds;E";3;6,5;0;19;5,66;0;0;6;0
Lucumi';Bologna;7;7;Dc;2;5,25;0;29;6,07;0;0;2;0
Ehizibue;Udinese;7;4;"Dd;E";3;6,67;0;20;5,82;0;1;4;0
Posch;Bologna;7;11;"Dd;Dc";3;5,33;0;30;6,15;1;2;7;0
Dorgu;Lecce;7;10;"Ds;E";3;5;0;29;6;2;0;6;0
Marin R.;Napoli;7;6;Dc;0;0;0;NP;NP;NP;NP;NP;NP
Sosa B.;Torino;7;8;E;1;5,5;0;NP;NP;NP;NP;NP;NP
Izzo;Monza;6;6;Dc;3;5,5;0;20;5,62;0;0;9;0
Calabria;Milan;6;7;"Dd;E";2;5,25;0;29;6,03;1;3;3;2
Pereira P.;Monza;6;4;"Dd;E";1;7,5;0;19;5,74;0;1;3;0
Palomino;Cagliari;6;4;Dc;2;6;0;0;0;0;0;0;0
Marusic;Lazio;6;6;"Dd;Ds;E";3;5,5;0;37;5,73;1;0;3;1
Lazzari;Lazio;6;12;"Dd;E";3;6,17;0;24;5,9;0;2;4;1
Zortea;Cagliari;6;10;"Dd;Ds;E";0;0;0;19;6,63;2;5;4;0
Candela;Venezia;6;4;"Dd;E";2;6;0;NP;NP;NP;NP;NP;NP
Zappa;Cagliari;6;6;"B;Dd;E";3;5,5;0;37;5,91;1;2;2;0
Zanoli;Genoa;6;5;"Dd;E";2;6;0;18;5,75;0;2;4;0
Guilbert;Lecce;6;6;"B;Dd;Ds";1;6,5;0;NP;NP;NP;NP;NP;NP
Viti;Empoli;6;4;Dc;3;6,17;0;14;5,96;1;0;0;0
Schuurs;Torino;6;5;Dc;0;0;0;9;6,33;1;0;2;0
